[2026-09-19 16:57:28] Etapa 2 iniciada
[2026-09-19 16:57:28] Configuração: 16 workers para varredura e logs
[2026-09-19 16:57:28] Fase 1/4 iniciada — varredura paralela do disco
[2026-09-19 16:57:28] Fase 1/4 | diretórios visitados=1 | arquivos encontrados=0 | assessments lidos=0
[2026-09-19 16:58:10] Fase 1/4 | diretórios visitados=5,100 | arquivos encontrados=82,441 | assessments lidos=1,341
[2026-09-19 16:58:11] Fase 1/4 | diretórios visitados=5,200 | arquivos encontrados=82,807 | assessments lidos=1,431
[2026-09-19 16:58:14] Fase 1/4 | diretórios visitados=5,300 | arquivos encontrados=83,426 | assessments lidos=1,860
[2026-09-19 16:58:25] Fase 1/4 | diretórios visitados=5,400 | arquivos encontrados=87,061 | assessments lidos=2,025
[2026-09-19 16:58:30] Fase 1/4 | diretórios visitados=5,500 | arquivos encontrados=93,090 | assessments lidos=2,025
[2026-09-19 16:58:32] Fase 1/4 | diretórios visitados=5,600 | arquivos encontrados=99,308 | assessments lidos=2,025
[2026-09-19 16:58:34] Fase 1/4 | diretórios visitados=5,700 | arquivos encontrados=103,333 | assessments lidos=2,025
[2026-09-19 16:58:35] Fase 1/4 | diretórios visitados=5,800 | arquivos encontrados=106,032 | assessments lidos=2,025
[2026-09-19 16:58:36] Fase 1/4 | diretórios visitados=5,900 | arquivos encontrados=112,026 | assessments lidos=2,025
[2026-09-19 16:58:37] Fase 1/4 | diretórios visitados=6,000 | arquivos encontrados=114,698 | assessments lidos=2,025
[2026-09-19 16:58:39] Fase 1/4 | diretórios visitados=6,100 | arquivos encontrados=121,152 | assessments lidos=2,025
[2026-09-19 16:58:41] Fase 1/4 | diretórios visitados=6,200 | arquivos encontrados=127,535 | assessments lidos=2,025
[2026-09-19 16:58:43] Fase 1/4 | diretórios visitados=6,300 | arquivos encontrados=131,960 | assessments lidos=2,025
[2026-09-19 16:58:43] Fase 1/4 | diretórios visitados=6,400 | arquivos encontrados=134,890 | assessments lidos=2,025
[2026-09-19 16:58:46] Fase 1/4 | diretórios visitados=6,500 | arquivos encontrados=142,594 | assessments lidos=2,025
[2026-09-19 16:58:47] Fase 1/4 | diretórios visitados=6,600 | arquivos encontrados=147,058 | assessments lidos=2,025
[2026-09-19 16:58:49] Fase 1/4 | diretórios visitados=6,700 | arquivos encontrados=153,842 | assessments lidos=2,025
[2026-09-19 16:58:50] Fase 1/4 | diretórios visitados=6,800 | arquivos encontrados=159,593 | assessments lidos=2,025
[2026-09-19 16:58:52] Fase 1/4 | diretórios visitados=6,900 | arquivos encontrados=164,673 | assessments lidos=2,025
[2026-09-19 16:58:53] Fase 1/4 | diretórios visitados=7,000 | arquivos encontrados=169,935 | assessments lidos=2,025
[2026-09-19 16:58:55] Fase 1/4 | diretórios visitados=7,100 | arquivos encontrados=174,259 | assessments lidos=2,025
[2026-09-19 16:58:56] Fase 1/4 | diretórios visitados=7,200 | arquivos encontrados=180,744 | assessments lidos=2,025
[2026-09-19 16:58:58] Fase 1/4 | diretórios visitados=7,300 | arquivos encontrados=186,335 | assessments lidos=2,025
[2026-09-19 16:59:00] Fase 1/4 | diretórios visitados=7,400 | arquivos encontrados=194,885 | assessments lidos=2,025
[2026-09-19 16:59:03] Fase 1/4 | diretórios visitados=7,500 | arquivos encontrados=202,093 | assessments lidos=2,025
[2026-09-19 16:59:07] Fase 1/4 | diretórios visitados=7,600 | arquivos encontrados=210,509 | assessments lidos=2,025
[2026-09-19 16:59:08] Fase 1/4 | diretórios visitados=7,700 | arquivos encontrados=216,106 | assessments lidos=2,025
[2026-09-19 16:59:10] Fase 1/4 | diretórios visitados=7,800 | arquivos encontrados=223,166 | assessments lidos=2,025
[2026-09-19 16:59:17] Fase 1/4 | diretórios visitados=7,900 | arquivos encontrados=231,404 | assessments lidos=2,025
[2026-09-19 16:59:20] Fase 1/4 | diretórios visitados=8,000 | arquivos encontrados=238,114 | assessments lidos=2,025
[2026-09-19 16:59:23] Fase 1/4 | diretórios visitados=8,100 | arquivos encontrados=245,092 | assessments lidos=2,025
[2026-09-19 16:59:26] Fase 1/4 | diretórios visitados=8,200 | arquivos encontrados=250,620 | assessments lidos=2,025
[2026-09-19 16:59:29] Fase 1/4 | diretórios visitados=8,300 | arquivos encontrados=256,176 | assessments lidos=2,025
[2026-09-19 16:59:32] Fase 1/4 | diretórios visitados=8,400 | arquivos encontrados=261,032 | assessments lidos=2,025
[2026-09-19 16:59:34] Fase 1/4 | diretórios visitados=8,500 | arquivos encontrados=266,799 | assessments lidos=2,025
[2026-09-19 16:59:37] Fase 1/4 | diretórios visitados=8,600 | arquivos encontrados=274,982 | assessments lidos=2,025
[2026-09-19 16:59:39] Fase 1/4 | diretórios visitados=8,700 | arquivos encontrados=279,496 | assessments lidos=2,025
[2026-09-19 16:59:41] Fase 1/4 | diretórios visitados=8,800 | arquivos encontrados=283,792 | assessments lidos=2,025
[2026-09-19 16:59:42] Fase 1/4 | diretórios visitados=8,900 | arquivos encontrados=286,854 | assessments lidos=2,025
[2026-09-19 16:59:42] Fase 1/4 | diretórios visitados=9,000 | arquivos encontrados=288,922 | assessments lidos=2,025
[2026-09-19 16:59:44] Fase 1/4 | diretórios visitados=9,100 | arquivos encontrados=292,739 | assessments lidos=2,025
[2026-09-19 16:59:48] Fase 1/4 | diretórios visitados=9,200 | arquivos encontrados=303,012 | assessments lidos=2,025
[2026-09-19 16:59:50] Fase 1/4 | diretórios visitados=9,300 | arquivos encontrados=309,445 | assessments lidos=2,025
[2026-09-19 16:59:52] Fase 1/4 | diretórios visitados=9,400 | arquivos encontrados=315,077 | assessments lidos=2,025
[2026-09-19 16:59:54] Fase 1/4 | diretórios visitados=9,500 | arquivos encontrados=323,805 | assessments lidos=2,025
[2026-09-19 16:59:56] Fase 1/4 | diretórios visitados=9,600 | arquivos encontrados=330,931 | assessments lidos=2,025
[2026-09-19 16:59:59] Fase 1/4 | diretórios visitados=9,700 | arquivos encontrados=337,475 | assessments lidos=2,025
[2026-09-19 17:00:00] Fase 1/4 | diretórios visitados=9,800 | arquivos encontrados=342,538 | assessments lidos=2,025
[2026-09-19 17:00:03] Fase 1/4 | diretórios visitados=9,900 | arquivos encontrados=349,458 | assessments lidos=2,025
[2026-09-19 17:00:08] Fase 1/4 | diretórios visitados=10,000 | arquivos encontrados=356,387 | assessments lidos=2,025
[2026-09-19 17:00:22] Fase 1/4 | diretórios visitados=10,100 | arquivos encontrados=364,238 | assessments lidos=2,025
[2026-09-19 17:00:26] Fase 1/4 | diretórios visitados=10,200 | arquivos encontrados=372,701 | assessments lidos=2,025
[2026-09-19 17:00:29] Fase 1/4 | diretórios visitados=10,300 | arquivos encontrados=381,164 | assessments lidos=2,025
[2026-09-19 17:00:31] Fase 1/4 | diretórios visitados=10,400 | arquivos encontrados=390,515 | assessments lidos=2,025
[2026-09-19 17:00:33] Fase 1/4 | diretórios visitados=10,500 | arquivos encontrados=397,045 | assessments lidos=2,025
[2026-09-19 17:00:35] Fase 1/4 | diretórios visitados=10,600 | arquivos encontrados=404,810 | assessments lidos=2,025
[2026-09-19 17:00:38] Fase 1/4 | diretórios visitados=10,700 | arquivos encontrados=413,498 | assessments lidos=2,025
[2026-09-19 17:00:41] Fase 1/4 | diretórios visitados=10,800 | arquivos encontrados=422,769 | assessments lidos=2,025
[2026-09-19 17:00:43] Fase 1/4 | diretórios visitados=10,900 | arquivos encontrados=430,768 | assessments lidos=2,025
[2026-09-19 17:00:44] Fase 1/4 | diretórios visitados=11,000 | arquivos encontrados=434,783 | assessments lidos=2,025
[2026-09-19 17:00:45] Fase 1/4 | diretórios visitados=11,100 | arquivos encontrados=438,302 | assessments lidos=2,025
[2026-09-19 17:00:48] Fase 1/4 | diretórios visitados=11,200 | arquivos encontrados=445,437 | assessments lidos=2,025
[2026-09-19 17:00:50] Fase 1/4 | diretórios visitados=11,300 | arquivos encontrados=452,781 | assessments lidos=2,025
[2026-09-19 17:00:51] Fase 1/4 | diretórios visitados=11,400 | arquivos encontrados=459,093 | assessments lidos=2,025
[2026-09-19 17:00:52] Fase 1/4 | diretórios visitados=11,500 | arquivos encontrados=462,787 | assessments lidos=2,025
[2026-09-19 17:00:53] Fase 1/4 | diretórios visitados=11,600 | arquivos encontrados=468,908 | assessments lidos=2,025
[2026-09-19 17:00:55] Fase 1/4 | diretórios visitados=11,700 | arquivos encontrados=475,039 | assessments lidos=2,025
[2026-09-19 17:00:56] Fase 1/4 | diretórios visitados=11,800 | arquivos encontrados=479,360 | assessments lidos=2,025
[2026-09-19 17:00:57] Fase 1/4 | diretórios visitados=11,900 | arquivos encontrados=483,321 | assessments lidos=2,025
[2026-09-19 17:00:58] Fase 1/4 | diretórios visitados=12,000 | arquivos encontrados=489,076 | assessments lidos=2,025
[2026-09-19 17:01:00] Fase 1/4 | diretórios visitados=12,100 | arquivos encontrados=496,545 | assessments lidos=2,025
[2026-09-19 17:01:01] Fase 1/4 | diretórios visitados=12,200 | arquivos encontrados=500,669 | assessments lidos=2,025
[2026-09-19 17:01:03] Fase 1/4 | diretórios visitados=12,300 | arquivos encontrados=505,355 | assessments lidos=2,025
[2026-09-19 17:01:04] Fase 1/4 | diretórios visitados=12,400 | arquivos encontrados=511,616 | assessments lidos=2,025
[2026-09-19 17:01:06] Fase 1/4 | diretórios visitados=12,500 | arquivos encontrados=518,836 | assessments lidos=2,025
[2026-09-19 17:01:08] Fase 1/4 | diretórios visitados=12,600 | arquivos encontrados=524,663 | assessments lidos=2,025
[2026-09-19 17:01:09] Fase 1/4 | diretórios visitados=12,700 | arquivos encontrados=530,169 | assessments lidos=2,025
[2026-09-19 17:01:10] Fase 1/4 | diretórios visitados=12,800 | arquivos encontrados=533,072 | assessments lidos=2,025
[2026-09-19 17:01:12] Fase 1/4 | diretórios visitados=12,900 | arquivos encontrados=541,676 | assessments lidos=2,025
[2026-09-19 17:01:13] Fase 1/4 | diretórios visitados=13,000 | arquivos encontrados=547,315 | assessments lidos=2,025
[2026-09-19 17:01:14] Fase 1/4 | diretórios visitados=13,100 | arquivos encontrados=553,647 | assessments lidos=2,025
[2026-09-19 17:01:18] Fase 1/4 | diretórios visitados=13,200 | arquivos encontrados=563,597 | assessments lidos=2,025
[2026-09-19 17:01:19] Fase 1/4 | diretórios visitados=13,300 | arquivos encontrados=568,662 | assessments lidos=2,025
[2026-09-19 17:01:20] Fase 1/4 | diretórios visitados=13,400 | arquivos encontrados=575,965 | assessments lidos=2,025
[2026-09-19 17:01:21] Fase 1/4 | diretórios visitados=13,500 | arquivos encontrados=578,996 | assessments lidos=2,025
[2026-09-19 17:01:24] Fase 1/4 | diretórios visitados=13,600 | arquivos encontrados=586,245 | assessments lidos=2,025
[2026-09-19 17:01:26] Fase 1/4 | diretórios visitados=13,700 | arquivos encontrados=595,122 | assessments lidos=2,025
[2026-09-19 17:01:27] Fase 1/4 | diretórios visitados=13,800 | arquivos encontrados=597,990 | assessments lidos=2,025
[2026-09-19 17:01:28] Fase 1/4 | diretórios visitados=13,900 | arquivos encontrados=600,452 | assessments lidos=2,025
[2026-09-19 17:01:32] Fase 1/4 | diretórios visitados=14,000 | arquivos encontrados=604,367 | assessments lidos=2,025
[2026-09-19 17:01:33] Fase 1/4 | diretórios visitados=14,100 | arquivos encontrados=606,765 | assessments lidos=2,025
[2026-09-19 17:01:34] Fase 1/4 | diretórios visitados=14,200 | arquivos encontrados=609,912 | assessments lidos=2,025
[2026-09-19 17:01:35] Fase 1/4 | diretórios visitados=14,300 | arquivos encontrados=612,997 | assessments lidos=2,025
[2026-09-19 17:01:36] Fase 1/4 | diretórios visitados=14,400 | arquivos encontrados=617,418 | assessments lidos=2,025
[2026-09-19 17:01:37] Fase 1/4 | diretórios visitados=14,500 | arquivos encontrados=620,585 | assessments lidos=2,025
[2026-09-19 17:01:38] Fase 1/4 | diretórios visitados=14,600 | arquivos encontrados=624,095 | assessments lidos=2,025
[2026-09-19 17:01:38] Fase 1/4 | diretórios visitados=14,700 | arquivos encontrados=627,069 | assessments lidos=2,025
[2026-09-19 17:01:39] Fase 1/4 | diretórios visitados=14,800 | arquivos encontrados=630,046 | assessments lidos=2,025
[2026-09-19 17:01:40] Fase 1/4 | diretórios visitados=14,900 | arquivos encontrados=633,345 | assessments lidos=2,025
[2026-09-19 17:01:41] Fase 1/4 | diretórios visitados=15,000 | arquivos encontrados=639,506 | assessments lidos=2,025
[2026-09-19 17:01:42] Fase 1/4 | diretórios visitados=15,100 | arquivos encontrados=643,952 | assessments lidos=2,025
[2026-09-19 17:01:44] Fase 1/4 | diretórios visitados=15,200 | arquivos encontrados=649,748 | assessments lidos=2,025
[2026-09-19 17:01:45] Fase 1/4 | diretórios visitados=15,300 | arquivos encontrados=656,089 | assessments lidos=2,025
[2026-09-19 17:01:47] Fase 1/4 | diretórios visitados=15,400 | arquivos encontrados=663,875 | assessments lidos=2,025
[2026-09-19 17:01:48] Fase 1/4 | diretórios visitados=15,500 | arquivos encontrados=670,270 | assessments lidos=2,025
[2026-09-19 17:01:50] Fase 1/4 | diretórios visitados=15,600 | arquivos encontrados=677,726 | assessments lidos=2,025
[2026-09-19 17:01:51] Fase 1/4 | diretórios visitados=15,700 | arquivos encontrados=683,193 | assessments lidos=2,025
[2026-09-19 17:01:53] Fase 1/4 | diretórios visitados=15,800 | arquivos encontrados=691,450 | assessments lidos=2,025
[2026-09-19 17:01:55] Fase 1/4 | diretórios visitados=15,900 | arquivos encontrados=700,622 | assessments lidos=2,025
[2026-09-19 17:01:57] Fase 1/4 | diretórios visitados=16,000 | arquivos encontrados=707,464 | assessments lidos=2,025
[2026-09-19 17:01:57] Fase 1/4 | diretórios visitados=16,100 | arquivos encontrados=710,798 | assessments lidos=2,025
[2026-09-19 17:01:58] Fase 1/4 | diretórios visitados=16,200 | arquivos encontrados=711,105 | assessments lidos=2,025
[2026-09-19 17:01:59] Fase 1/4 | diretórios visitados=16,300 | arquivos encontrados=716,587 | assessments lidos=2,025
[2026-09-19 17:02:00] Fase 1/4 | diretórios visitados=16,400 | arquivos encontrados=719,427 | assessments lidos=2,025
[2026-09-19 17:02:01] Fase 1/4 | diretórios visitados=16,500 | arquivos encontrados=724,759 | assessments lidos=2,025
[2026-09-19 17:02:01] Fase 1/4 | diretórios visitados=16,600 | arquivos encontrados=725,059 | assessments lidos=2,025
[2026-09-19 17:02:02] Fase 1/4 | diretórios visitados=16,700 | arquivos encontrados=725,359 | assessments lidos=2,025
