pc,term,OR,ci_lo,ci_hi,p,beta,se,var_student,var_question,icc_student,icc_question,N,positives,prevalence,n_students,n_questions,max_vif,p_fdr
G4,(intercept),1.6762107227434915,1.5466066180643112,1.816675523189456,2.69206307892494e-36,0.5165357237171483,0.04105738338171963,0.8532538857489805,0.7488799809489363,0.1744181391749626,0.15308251731879202,18884,11484,0.6081338699428087,2676,829,3.1959992491876394,
G4,testes,1.2950096450247717,1.2099187979937194,1.3860847384866324,8.969479465288557e-14,0.25851814301934223,0.0346759667136267,0.8532538857489805,0.7488799809489363,0.1744181391749626,0.15308251731879202,18884,11484,0.6081338699428087,2676,829,3.1959992491876394,1.076337535834627e-12
G4,alteracoes,0.9618535871438443,0.9034329893868961,1.0240519595474713,0.22376965002976323,-0.038893036215635404,0.03196954249551534,0.8532538857489805,0.7488799809489363,0.1744181391749626,0.15308251731879202,18884,11484,0.6081338699428087,2676,829,3.1959992491876394,0.383605114336737
G4,erros_logica,1.1188809619209963,1.073317785768923,1.1663783303957818,1.185759592246178e-07,0.11232904469080016,0.02121145878365456,0.8532538857489805,0.7488799809489363,0.1744181391749626,0.15308251731879202,18884,11484,0.6081338699428087,2676,829,3.1959992491876394,7.114557553477068e-07
G4,erros_sintaxe,0.8937028950380934,0.8589709246818774,0.9298392316308871,2.745144233040727e-08,-0.11238189121535208,0.020223629705516277,0.8532538857489805,0.7488799809489363,0.1744181391749626,0.15308251731879202,18884,11484,0.6081338699428087,2676,829,3.1959992491876394,2.196115386432582e-07
G4,tempo,1.04377026047507,0.9713355619510734,1.1216065789497698,0.24303379518235346,0.0428394082281327,0.03669525241612273,0.8532538857489805,0.7488799809489363,0.1744181391749626,0.15308251731879202,18884,11484,0.6081338699428087,2676,829,3.1959992491876394,0.38885407229176555
G4,delecoes,0.6929763060289128,0.6467538591490661,0.7425021960430165,2.1501693643225676e-25,-0.3667594708112093,0.03521939802818642,0.8532538857489805,0.7488799809489363,0.1744181391749626,0.15308251731879202,18884,11484,0.6081338699428087,2676,829,3.1959992491876394,5.160406474374162e-24
B8,(intercept),0.3228807451127821,0.27267427636051983,0.3823315384057249,2.8705204402131267e-39,-1.1304722341114843,0.08622708617999152,0.418311452638923,2.31994110525923,0.06939334396907505,0.3848531281887027,9110,2562,0.28122941822173436,2280,390,3.0756927792155304,
B8,testes,0.9228813959077113,0.8264060092211154,1.0306194066948997,0.1542666547527168,-0.08025455121077352,0.05633394817735467,0.418311452638923,2.31994110525923,0.06939334396907505,0.3848531281887027,9110,2562,0.28122941822173436,2280,390,3.0756927792155304,0.3085333095054336
B8,alteracoes,1.1015386888177048,0.9955845895060276,1.2187688477221874,0.060897603710741724,0.09670801039986349,0.051598570208249955,0.418311452638923,2.31994110525923,0.06939334396907505,0.3848531281887027,9110,2562,0.28122941822173436,2280,390,3.0756927792155304,0.18269281113222519
B8,erros_logica,1.0577583814688525,0.9869680384586694,1.1336261661673455,0.11209799188742565,0.05615193445225953,0.035341610734312606,0.418311452638923,2.31994110525923,0.06939334396907505,0.3848531281887027,9110,2562,0.28122941822173436,2280,390,3.0756927792155304,0.2592390336275887
B8,erros_sintaxe,0.8984028213030132,0.842623671912892,0.9578743823952911,0.0010527330646994699,-0.10713673519883948,0.03270311262327009,0.418311452638923,2.31994110525923,0.06939334396907505,0.3848531281887027,9110,2562,0.28122941822173436,2280,390,3.0756927792155304,0.005053118710557455
B8,tempo,1.065348226928306,0.9518566292120172,1.192371634327802,0.2706961958150962,0.06330171935875877,0.057470701254077994,0.418311452638923,2.31994110525923,0.06939334396907505,0.3848531281887027,9110,2562,0.28122941822173436,2280,390,3.0756927792155304,0.4060442937226443
B8,delecoes,1.0383607144435194,0.93132587396733,1.157696788457826,0.4976457420003785,0.03764323347419826,0.05550472993895229,0.418311452638923,2.31994110525923,0.06939334396907505,0.3848531281887027,9110,2562,0.28122941822173436,2280,390,3.0756927792155304,0.6286051477899518
B4,(intercept),0.069874072325703,0.05304845106695015,0.09203635328043276,6.163967255983435e-80,-2.661060623792456,0.1405556062055711,0.14095303647394564,1.764454988379903,0.027130999810658266,0.33962679452101724,3743,333,0.08896606999732834,1852,138,3.2731528268737455,
B4,testes,0.8983675822891293,0.7025809184931496,1.1487136807514713,0.39279923831380825,-0.10717596003671302,0.1254177234203357,0.14095303647394564,1.764454988379903,0.027130999810658266,0.33962679452101724,3743,333,0.08896606999732834,1852,138,3.2731528268737455,0.5237323177517443
B4,alteracoes,1.2223431523535617,0.9510970627160413,1.5709466895406936,0.1168034901877687,0.2007696334023641,0.12801468938921062,0.14095303647394564,1.764454988379903,0.027130999810658266,0.33962679452101724,3743,333,0.08896606999732834,1852,138,3.2731528268737455,0.2592390336275887
B4,erros_logica,1.2144020641188473,1.046257368801857,1.4095694016711995,0.010627852740735962,0.1942518273603921,0.07603695995067804,0.14095303647394564,1.764454988379903,0.027130999810658266,0.33962679452101724,3743,333,0.08896606999732834,1852,138,3.2731528268737455,0.03772445125700615
B4,erros_sintaxe,1.0006820737807627,0.8749160014179832,1.1445265730232939,0.9920609895800023,0.0006818412741598695,0.06852512086034161,0.14095303647394564,1.764454988379903,0.027130999810658266,0.33962679452101724,3743,333,0.08896606999732834,1852,138,3.2731528268737455,0.9920609895800023
B4,tempo,0.9968146495133859,0.7625455885291572,1.3030557915902246,0.9813778557393051,-0.00319043451462005,0.1366849742542017,0.14095303647394564,1.764454988379903,0.027130999810658266,0.33962679452101724,3743,333,0.08896606999732834,1852,138,3.2731528268737455,0.9920609895800023
B4,delecoes,1.4012756655466796,1.0803736030242719,1.8174948789536238,0.011002964949960128,0.33738301141610416,0.13269188845578817,0.14095303647394564,1.764454988379903,0.027130999810658266,0.33962679452101724,3743,333,0.08896606999732834,1852,138,3.2731528268737455,0.03772445125700615
B9,(intercept),0.1246319878969961,0.0866294786257467,0.17930538949983313,3.203697889444864e-29,-2.082389980881937,0.18557405133636629,0.14442428683314149,1.9710748114166008,0.02671868175386517,0.36465141531316786,1827,234,0.12807881773399016,1330,79,3.5089681797853443,
B9,testes,1.273780435335221,0.939792330544742,1.7264629053764549,0.11881789041264482,0.24198919954624917,0.15514569011441376,0.14442428683314149,1.9710748114166008,0.02671868175386517,0.36465141531316786,1827,234,0.12807881773399016,1330,79,3.5089681797853443,0.2592390336275887
