pc3,questoes_analisadas,correlacao_spearman,p_valor,significativo,direcao,intensidade
G4,829,-0.111853487137656,0.0012562365342992541,True,negativa,fraca
B8,829,0.07895932759946814,0.022993326248736002,True,positiva,negligível
B4,829,-0.13811742584804376,6.611141384137735e-05,True,negativa,fraca
B9,829,0.03872235954243007,0.26543214472873106,False,positiva,negligível
