question,taxa_acerto,num_submissoes,taxa_aceitacao,num_testes,num_consultas,num_erros_lgcs,num_errors_stx,num_erros,num_eventos,num_eventos_del,tempo_implementacao,qtd_alteracoes_codigo
1164,0.8181818181818182,6.0,0.13636363636363635,11.863636363636363,17.863636363636363,3.090909090909091,2.090909090909091,5.181818181818182,514.7272727272727,54.27272727272727,570.367333333333,247.5909090909091
1023,0.9142857142857143,3.257142857142857,0.2807017543859649,5.485714285714286,8.742857142857142,1.0857142857142856,1.2571428571428571,2.342857142857143,623.7714285714286,79.42857142857143,457.6875624999993,265.2857142857143
1214,0.9473684210526315,4.315789473684211,0.21951219512195122,5.315789473684211,9.631578947368421,2.8947368421052633,0.47368421052631576,3.3684210526315788,343.10526315789474,36.26315789473684,483.78683333333333,172.57894736842104
1092,0.6621621621621622,9.14864864864865,0.0723781388478582,19.256756756756758,28.405405405405407,6.783783783783784,1.7027027027027026,8.486486486486486,961.6621621621622,115.47297297297297,610.7056530612231,598.4324324324324
1116,0.5588235294117647,7.382352941176471,0.07569721115537849,17.176470588235293,24.558823529411764,5.411764705882353,1.411764705882353,6.823529411764706,1165.6470588235295,144.97058823529412,1191.66947368421,955.3529411764706
1249,0.8260869565217391,11.652173913043478,0.0708955223880597,16.52173913043478,28.17391304347826,6.304347826086956,4.521739130434782,10.826086956521738,963.304347826087,116.21739130434783,878.3352105263153,655.2608695652174
1038,0.7954545454545454,6.204545454545454,0.1282051282051282,8.954545454545455,15.159090909090908,2.977272727272727,2.4318181818181817,5.409090909090909,596.4545454545455,93.75,256.4261999999996,264.90909090909093
1156,0.7692307692307693,2.769230769230769,0.2777777777777778,17.23076923076923,20.0,1.2307692307692308,0.7692307692307693,2.0,909.2307692307693,102.76923076923077,881.0886000000006,343.0
1118,0.8571428571428571,2.142857142857143,0.4,1.6071428571428572,3.75,1.2142857142857142,0.07142857142857142,1.2857142857142858,159.625,14.410714285714286,0.0,104.0
1285,0.8679245283018868,4.132075471698113,0.2100456621004566,12.69811320754717,16.830188679245282,1.8679245283018868,1.3962264150943395,3.2641509433962264,898.188679245283,109.52830188679245,717.004630434782,591.9245283018868
1261,0.6666666666666666,8.714285714285714,0.07650273224043716,9.80952380952381,18.523809523809526,3.0476190476190474,5.0,8.047619047619047,826.5714285714286,95.23809523809524,875.8488571428567,508.2857142857143
1200,0.782608695652174,9.652173913043478,0.08108108108108109,8.521739130434783,18.17391304347826,6.304347826086956,2.5652173913043477,8.869565217391305,503.4782608695652,48.34782608695652,507.7341111111109,219.82608695652175
1299,0.2857142857142857,11.642857142857142,0.024539877300613498,15.357142857142858,27.0,8.071428571428571,3.2857142857142856,11.357142857142858,910.0714285714286,108.5,1143.84625,594.7857142857143
1089,0.84375,8.859375,0.09523809523809523,14.359375,23.21875,5.328125,2.6875,8.015625,886.015625,117.953125,499.6895925925926,499.109375
1109,0.4666666666666667,8.083333333333334,0.0577319587628866,20.133333333333333,28.216666666666665,6.433333333333334,1.1833333333333333,7.616666666666666,1517.5666666666666,166.51666666666668,425.4193571428564,1546.1833333333334
1084,0.9104477611940298,8.343283582089553,0.10912343470483005,15.08955223880597,23.432835820895523,4.119402985074627,3.3134328358208953,7.432835820895522,862.9850746268656,99.05970149253731,408.11704918032706,409.7761194029851
1097,0.7142857142857143,7.916666666666667,0.09022556390977443,12.988095238095237,20.904761904761905,5.309523809523809,1.8928571428571428,7.2023809523809526,694.2261904761905,84.5952380952381,525.9879499999996,420.6190476190476
1026,0.8285714285714286,4.114285714285714,0.2013888888888889,1.9142857142857144,6.0285714285714285,0.4857142857142857,2.8,3.2857142857142856,463.9142857142857,70.37142857142857,279.7337241379305,186.11428571428573
