question_id,complexity,n_classes,n_functions,loc,lloc,sloc,comments,single_comments,multi_comments,blank_lines,h1,h2,N1,N2,h,N,calculated_N,volume,difficulty,effort,bugs,time,endmarker,name,number,string,newline,indent,dedent,lpar,rpar,lsqb,rsqb,colon,comma,semi,plus,minus,star,slash,vbar,amper,less,greater,equal,dot,percent,lbrace,rbrace,eq_equal,not_eq,less_eq,greater_eq,tilde,circumflex,lshift,rshift,dbl_star,plus_eq,minus_eq,star_eq,slash_eq,percent_eq,amper_eq,vbar_eq,circumflex_eq,lshift_eq,rshift_eq,dbl_star_eq,dbl_slash,dbl_slash_eq,at,at_eq,rarrow,ellipsis,colon_eq,op,error_token,comment,nl,encoding,number_int,number_float,kwd_and,kwd_or,kwd_not,kwd_none,kwd_false,kwd_true,kwd_as,kwd_assert,kwd_async,kwd_await,kwd_break,kwd_class,kwd_continue,kwd_def,kwd_del,kwd_if,kwd_elif,kwd_else,kwd_except,kwd_finally,kwd_for,kwd_while,kwd_import,kwd_from,kwd_global,kwd_in,kwd_is,kwd_lambda,kwd_nonlocal,kwd_pass,kwd_raise,kwd_return,kwd_try,kwd_with,kwd_yield,keyword,identifier,builtin_type,builtin_func,kwd_print,kwd_input,builtin_type_unique,builtin_func_unique,identifiers_unique,identifiers_max_len,identifiers_min_len,identifiers_mean_len
825,1,0,0,20,7,6,4,4,5,5,3,9,6,12,12,18,33.28421251514428,64.52932501298082,2.0,129.05865002596164,0.02150977500432694,7.169925001442313,1,,,2,7,,,6,6,,,,2,,,,4,1,,,,,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,4,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,1,2,2,1,1,3,5,6,2,4.0
1016,1,0,0,18,8,7,2,2,5,4,4,12,9,18,16,27,51.01955000865388,108.0,3.0,324.0,0.036,18.0,1,,,4,8,,,13,13,,,,1,,2,3,4,1,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,18,3,1,1,3,1,3,7,4,1,2.2857142857142856
1017,1,0,0,29,9,8,5,5,10,6,3,12,6,12,15,18,47.77443751081735,70.32403072095333,1.5,105.48604608143,0.02344134357365111,5.860335893412778,1,,,5,9,,,21,21,,,,1,,1,1,5,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,26,4,1,1,4,1,3,11,7,1,3.727272727272727
842,1,0,0,25,8,7,5,5,6,7,3,12,9,18,15,27,47.77443751081735,105.48604608143,2.25,237.3436036832175,0.03516201536047667,13.18575576017875,1,,,2,8,,,9,9,,,,,,3,,,,,,,,6,,3,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,6,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,,1,1,1,2,6,7,3,5.666666666666667
1024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
1037,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
1002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
1029,1,0,0,6,4,4,0,0,0,2,2,7,4,8,9,12,21.651484454403228,38.03910001730775,1.1428571428571428,43.47325716263743,0.012679700005769252,2.415180953479857,1,,,1,4,,,4,4,,,,1,,2,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,1,1,1,1,3,2,11,7,9.0
1021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
1033,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
