question,respostas,A2,A3,A4,A5,B4,B6,B8,B9,B10,B11,B12,C1,C2,C3,C4,C8,D4,E1,E2,G4,G5,H1
1534,41,1,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,38,0,1
1535,45,0,4,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,38,0,0
1536,38,0,4,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,35,0,0
1537,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,1
1538,26,0,4,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0
1539,38,0,3,0,0,0,0,7,2,0,0,0,0,0,1,0,0,0,0,0,37,0,0
1540,39,0,5,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,34,0,0
1593,41,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0
1594,47,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0
1595,42,0,4,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
1596,42,1,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
1597,56,4,4,0,0,2,0,29,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
1598,66,6,12,0,0,0,0,28,2,0,0,0,0,0,0,0,0,0,0,0,35,0,0
1599,82,11,5,0,0,0,0,34,2,0,0,0,0,0,0,0,0,0,0,0,58,0,0
1600,58,6,8,0,0,0,0,32,2,0,0,0,0,0,0,0,0,0,0,0,30,0,0
1601,46,0,6,0,0,0,0,30,0,0,0,0,1,0,0,0,0,0,0,0,33,0,0
1602,39,0,7,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
1603,36,2,2,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
1604,21,2,3,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0
1605,24,17,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
1606,19,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
1607,19,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
1608,18,0,2,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0
1609,16,0,4,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0
1610,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
1611,19,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
1613,18,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
1614,30,0,3,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
1615,31,7,3,0,0,1,0,20,0,0,3,0,0,0,0,0,0,0,1,0,21,0,0
1616,25,0,8,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
1617,22,0,2,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
1618,17,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
1620,40,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
1621,29,0,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
1622,27,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
1639,63,0,7,0,0,0,0,61,0,0,0,0,0,0,0,0,2,0,0,0,53,0,0
1640,73,1,6,0,0,0,0,73,0,0,0,0,0,0,0,0,3,0,0,0,50,0,0
1641,78,1,9,0,0,0,0,77,1,0,0,0,0,0,0,0,2,0,0,0,57,0,0
1642,89,1,3,0,0,0,0,84,0,1,0,0,0,0,0,0,1,0,0,0,69,0,0
1643,64,2,4,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,48,0,1
